city,place,package,price,travel_service
Delhi,Red Fort,Half Day Tour,1500,Mahesh Tour & Travels
Delhi,Qutub Minar,Full Day Tour,2500,System Hang Travels
Delhi,Lotus Temple,Half Day Tour,1200,City Cab Services
Delhi,Worlds of Wonder Water Park,Full Day Pass,2000,Delhi Water Adventures
Mumbai,Gateway of India,Half Day Tour,1800,Mahesh Tour & Travels
Mumbai,Marine Drive,Evening Tour,1000,City Sightseeing Bus
Mumbai,Elephanta Caves,Full Day Tour,2800,System Hang Travels
Mumbai,Water Kingdom Water Park,Full Day Pass,2200,Mumbai Fun Resorts
Hyderabad,Charminar,Half Day Tour,1500,City Cab Services
Hyderabad,Golconda Fort,Full Day Tour,2200,Mahesh Tour & Travels
Hyderabad,Ramoji Film City,Full Day Tour,3500,System Hang Travels
Hyderabad,Wonderla Water Park,Full Day Pass,2300,Hyd Aqua World
Bangalore,Lalbagh Botanical Garden,Half Day Tour,1200,City Cab Services
Bangalore,Bangalore Palace,Half Day Tour,1600,Mahesh Tour & Travels
Bangalore,Nandi Hills,Full Day Tour,2500,System Hang Travels
Bangalore,Wonderla Water Park,Full Day Pass,2400,Bangalore Fun Resorts
Chennai,Marina Beach,Evening Tour,800,City Cab Services
Chennai,Kapaleeshwarar Temple,Half Day Tour,1200,Mahesh Tour & Travels
Chennai,Fort St. George,Full Day Tour,2000,System Hang Travels
Chennai,Queens Land Water Park,Full Day Pass,2100,Chennai Aqua Resorts
Kolkata,Victoria Memorial,Half Day Tour,1500,City Cab Services
Kolkata,Howrah Bridge,Evening Tour,900,Mahesh Tour & Travels
Kolkata,Science City,Full Day Tour,2000,System Hang Travels
Kolkata,Aquatica Water Park,Full Day Pass,2200,Kolkata Aqua Fun
